01,数学学院
3A05,伯苓学院
3B,研究生院
3B01,研究生院
3C,科学技术处
3C01,科学技术处
3C02,军工保密办公室
3D,社会科学研究管理处
3D01,社会科学研究管理处
3E,国际交流处
3E01,国际交流处
3F,实验室设备处
3F01,设备处办公室
3F02,综合楼大楼办
3F03,编辑部
3F04,设备处库房
3G,财务处
3G01,财务处
3H,审计处
3H01,审计处
3I,保卫处
3I01,保卫处
3J,离退休人员管理处
3J01,离退休人员管理处
3K,后勤管理办公室
3K01,综合事务科
3K02,物业服务科
3K03,环境管理保障科
3K04,后勤集团机关
3L,基建规划处
3L01,基建规划处办公室
3L02,新校区指挥部
3M,房产管理处
3M01,行政办公
3M02,公房公寓
3M03,代管其它
3N,校产管理办公室
3N01,校产管理办公室
41,成人教育学院
4101,成人教育学院
42,校产党委
4201,校产党委
43,机关党委
4301,机关党委
44,211工程办公室
4401,211工程办公室
45,军事教研室
4501,军事教研室
46,团委
4601,团委
47,教代会工会
4701,教代会工会
48,校友工作办公室
4801,校友工作办公室
49,退休教师协会
4901,退休教师协会
4A,医疗保险办公室
4A01,医疗保险办公室
4B,学报编辑部
4B01,学报编辑部
4C,直属单位党委
4C01,直属单位党委
4D,档案馆
4D01,档案馆
4E,现代应用技术研究院
4E01,研究院行政
4E02,研究院科研
4F,招投标管理办公室
4F01,招投标管理办公室
4G,改制企业留守管理中心
4G01,改制企业留守管理中心
4H,保密办公室
4H01,保密办公室
4I,教师发展中心
4I01,教师发展中心
4J,科技成果转化中心
4J01,转化中心行政
4J02,转化中心科研
54,膳食服务中心
5401,膳食服务中心行政
5402,食堂餐厅
5403,补充经营
5404,泰达食堂
5405,新校区食堂
55,动力供应及修建工程中心
5501,综合科
5502,电力科
5503,供热科
5504,维修科
5505,能源委员会办公室
57,生产发展中心
5701,生产中心
58,劳动服务公司
5801,公司办公室
5802,浴园
5A,接待中心
5A01,接待中心行政
5A02,客运部
5A03,静园
5A04,明珠园
5A05,谊园
5A06,其他人员
5A07,爱大会馆
5A08,专家楼
5A09,纪念品部
5A11,待查设备
5B,幼儿园
5B01,幼儿园仪器室
5C,校医院
5C01,校医院仪器室
5E,印刷厂
5E01,印刷厂
AAAAA,退休
71,待查
7101,7101
7102,7102
7103,7103
7104,7104
7105,7105
1O,中国哲学社会科学管理创新研究中心
1O01,中国哲学社会科学管理创新研究中心
0L,伯苓学院
0L01,伯苓学院办公室
0E,材料科学与工程学院
0E01,材料科学与工程学院行政
2B,南开大学博物馆
2B01,博物馆办公室
2B02,文物保管与陈列室
